"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2016- 05- 24","207.87","206.17","208.24","206.14","93.54M","1.30%"
"2016- 05- 23","205.21","205.51","205.84","204.99","58.68M","-0.14%"
"2016- 05- 20","205.49","204.92","206.10","204.86","104.99M","0.63%"
"2016- 05- 19","204.20","204.06","204.54","202.78","115.43M","-0.35%"
"2016- 05- 18","204.91","204.44","206.30","203.63","123.49M","0.03%"
"2016- 05- 17","204.85","206.46","206.80","204.23","114.92M","-0.93%"
"2016- 05- 16","206.78","204.96","207.34","204.89","77.49M","0.99%"
"2016- 05- 13","204.76","206.21","206.86","204.38","96.47M","-0.87%"
"2016- 05- 12","206.56","207.29","207.49","205.37","89.59M","0.03%"
"2016- 05- 11","206.50","207.91","208.54","206.50","81.73M","-0.94%"
"2016- 05- 10","208.45","206.72","208.50","206.64","77.47M","1.24%"
"2016- 05- 09","205.89","205.57","206.40","205.36","74.37M","0.08%"
"2016- 05- 06","205.72","204.06","205.77","203.88","89.32M","0.37%"
"2016- 05- 05","204.97","205.56","205.98","204.47","67.62M","-0.02%"
"2016- 05- 04","205.01","204.99","205.85","204.42","92.24M","-0.56%"
"2016- 05- 03","206.16","206.52","206.80","205.28","106.42M","-0.87%"
"2016- 05- 02","207.97","206.92","208.18","206.41","62.19M","0.79%"
"2016- 04- 29","206.33","206.72","207.13","205.03","142.42M","-0.54%"
"2016- 04- 28","207.45","208.46","209.76","206.96","97.22M","-0.91%"
"2016- 04- 27","209.35","208.47","209.81","208.05","77.33M","0.21%"
"2016- 04- 26","208.92","209.04","209.52","208.36","75.86M","0.15%"
"2016- 04- 25","208.61","208.26","208.66","207.54","66.17M","-0.17%"
"2016- 04- 22","208.97","208.55","209.29","207.91","99.25M","0.00%"
"2016- 04- 21","208.97","210.12","210.25","208.65","85.70M","-0.54%"
"2016- 04- 20","210.10","209.95","210.92","209.39","81.10M","0.10%"
"2016- 04- 19","209.90","209.74","210.20","208.94","88.32M","0.32%"
"2016- 04- 18","209.24","207.14","209.28","207.00","82.53M","0.70%"
"2016- 04- 15","207.78","208.01","208.17","207.40","75.76M","-0.11%"
"2016- 04- 14","208.01","208.07","208.60","207.60","65.21M","0.00%"
"2016- 04- 13","208.00","207.00","208.10","206.84","96.34M","1.01%"
"2016- 04- 12","205.92","204.22","206.25","203.70","115.35M","0.93%"
"2016- 04- 11","204.02","205.25","206.07","203.91","83.76M","-0.23%"
"2016- 04- 08","204.50","205.34","205.85","203.87","95.04M","0.27%"
"2016- 04- 07","203.95","205.14","205.56","203.09","113.86M","-1.20%"
"2016- 04- 06","206.42","204.29","206.49","203.98","91.84M","1.09%"
"2016- 04- 05","204.19","204.67","206.26","203.89","99.66M","-1.00%"
"2016- 04- 04","206.25","206.83","207.07","205.89","63.50M","-0.32%"
"2016- 04- 01","206.92","204.35","207.14","203.98","114.42M","0.68%"
"2016- 03- 31","205.52","205.91","206.41","205.33","94.58M","-0.24%"
"2016- 03- 30","206.02","206.30","206.87","205.59","86.37M","0.44%"
"2016- 03- 29","205.12","202.76","205.25","202.40","92.92M","0.93%"
"2016- 03- 28","203.24","203.61","203.86","202.71","62.41M","0.06%"
"2016- 03- 24","203.12","202.00","203.16","201.74","84.36M","-0.04%"
"2016- 03- 23","203.21","204.11","204.33","203.01","81.05M","-0.66%"
"2016- 03- 22","204.56","203.76","205.23","203.57","97.47M","-0.05%"
"2016- 03- 21","204.67","204.07","204.94","203.80","72.93M","0.14%"
"2016- 03- 18","204.38","204.17","204.78","203.80","138.37M","-0.12%"
"2016- 03- 17","204.63","203.24","205.23","202.77","134.28M","0.63%"
"2016- 03- 16","203.34","201.60","203.82","201.55","129.30M","0.58%"
"2016- 03- 15","202.17","201.36","202.53","201.05","93.17M","-0.16%"
"2016- 03- 14","202.50","202.16","203.04","201.77","73.61M","-0.13%"
"2016- 03- 11","202.76","201.26","202.81","199.52","137.96M","1.61%"
"2016- 03- 10","199.54","199.96","201.07","197.38","156.84M","0.08%"
"2016- 03- 09","199.38","199.36","199.79","198.43","94.80M","0.49%"
"2016- 03- 08","198.40","199.32","199.92","198.21","123.97M","-1.09%"
"2016- 03- 07","200.59","199.34","201.07","199.25","100.22M","0.08%"
"2016- 03- 04","200.43","200.01","201.35","199.03","129.29M","0.33%"
